missing_rate,run,MSE,method
0.3,0,29.98266382817784,Phenotype_correlation
0.3,0,59.62946106669318,Genotype_correlation
0.3,0,39.949384115815015,Baseline_mixed_model
0.3,1,21.14982000914656,Phenotype_correlation
0.3,1,55.38647524391524,Genotype_correlation
0.3,1,35.204968521274694,Baseline_mixed_model
0.3,2,22.821018802315162,Phenotype_correlation
0.3,2,63.51340910316047,Genotype_correlation
0.3,2,40.48938426716776,Baseline_mixed_model
0.3,3,32.113989004257284,Phenotype_correlation
0.3,3,63.97396288510305,Genotype_correlation
0.3,3,42.77729689802101,Baseline_mixed_model
0.3,4,21.810818493291865,Phenotype_correlation
0.3,4,56.401155211979315,Genotype_correlation
0.3,4,35.85099912545768,Baseline_mixed_model
0.3,5,20.75032362585473,Phenotype_correlation
0.3,5,41.61078733767708,Genotype_correlation
0.3,5,28.7142399251016,Baseline_mixed_model
0.3,6,21.8241427453183,Phenotype_correlation
0.3,6,48.88783434632156,Genotype_correlation
0.3,6,32.837725649534036,Baseline_mixed_model
0.3,7,32.64435933219449,Phenotype_correlation
0.3,7,53.41002162520664,Genotype_correlation
0.3,7,39.4121643239817,Baseline_mixed_model
0.3,8,25.012348898898384,Phenotype_correlation
0.3,8,45.48028982095564,Genotype_correlation
0.3,8,30.71431131401235,Baseline_mixed_model
0.3,9,25.698892513396828,Phenotype_correlation
0.3,9,64.11156132496879,Genotype_correlation
0.3,9,45.21439015639085,Baseline_mixed_model
